Model,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,Ablation
Integrated (t=50),0.9693,0.5688,0.3746,0.4517,248,188,414,18749,Full
Without PARKING_ANOMALY,0.9663,0.5029,0.2598,0.3426,172,170,490,18767,Remove PARKING_ANOMALY
Without SPEED_ANOMALY,0.9685,0.5806,0.2447,0.3443,162,117,500,18820,Remove SPEED_ANOMALY
Without ROUTE_DEVIATION,0.9661,0.4949,0.219,0.3037,145,148,517,18789,Remove ROUTE_DEVIATION
Without RESTRICTED_ZONE_ENTRY,0.9647,0.4472,0.1918,0.2685,127,157,535,18780,Remove RESTRICTED_ZONE_ENTRY
Without COORDINATED_MOVEMENT,0.9693,0.5701,0.3746,0.4521,248,187,414,18750,Remove COORDINATED_MOVEMENT
Only PARKING_ANOMALY,0.9566,0.3583,0.361,0.3597,239,428,423,18509,Only PARKING_ANOMALY
Only SPEED_ANOMALY,0.6635,0.0749,0.79,0.1369,523,6457,139,12480,Only SPEED_ANOMALY
Only ROUTE_DEVIATION,0.9273,0.3116,0.9517,0.4694,630,1392,32,17545,Only ROUTE_DEVIATION
Only RESTRICTED_ZONE_ENTRY,0.6128,0.0715,0.8731,0.1322,578,7504,84,11433,Only RESTRICTED_ZONE_ENTRY
Only COORDINATED_MOVEMENT,0.9659,0.0,0.0,0.0,0,6,662,18931,Only COORDINATED_MOVEMENT
